section,vendor_slug,vendor_name,domain,canonical_url,plan,monthly_usd,minutes_included,calls_included,overage_per_min,overage_per_call,annual_discount_pct,setup_fee_usd,billing_model,hipaa,baa,bilingual,integrations,quote_only,source_url,accessed_at,corroboration_url,corroboration_accessed_at
business-texting,simpletexting,SimpleTexting,simpletexting.com,https://frontdeskreview.com/business-texting/vendors/simpletexting/,500 Credits,39,,500,,,20,,hybrid,yes,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Slack; Google Sheets; Klaviyo; Shopify; Constant Contact; API,no,https://simpletexting.com/pricing/,2026-06-12,https://costbench.com/software/sms-marketing/simpletexting/,2026-06-12
business-texting,simpletexting,SimpleTexting,simpletexting.com,https://frontdeskreview.com/business-texting/vendors/simpletexting/,"1,000 Credits",59,,1000,,,20,,hybrid,yes,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Slack; Google Sheets; Klaviyo; Shopify; Constant Contact; API,no,https://simpletexting.com/pricing/,2026-06-12,,
business-texting,simpletexting,SimpleTexting,simpletexting.com,https://frontdeskreview.com/business-texting/vendors/simpletexting/,"2,000 Credits",89,,2000,,,20,,hybrid,yes,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Slack; Google Sheets; Klaviyo; Shopify; Constant Contact; API,no,https://simpletexting.com/pricing/,2026-06-12,,
business-texting,simpletexting,SimpleTexting,simpletexting.com,https://frontdeskreview.com/business-texting/vendors/simpletexting/,"3,000 Credits",119,,3000,,,20,,hybrid,yes,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Slack; Google Sheets; Klaviyo; Shopify; Constant Contact; API,no,https://simpletexting.com/pricing/,2026-06-12,https://costbench.com/software/sms-marketing/simpletexting/,2026-06-12
business-texting,eztexting,EZ Texting,eztexting.com,https://frontdeskreview.com/business-texting/vendors/eztexting/,Launch,25,,500,,,20,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Shopify; Constant Contact; Google Sheets; Slack; API,no,https://www.eztexting.com/pricing,2026-06-12,https://www.business.com/reviews/ez-texting/,2026-06-12
business-texting,eztexting,EZ Texting,eztexting.com,https://frontdeskreview.com/business-texting/vendors/eztexting/,Boost,75,,500,,,20,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Shopify; Constant Contact; Google Sheets; Slack; API,no,https://www.eztexting.com/pricing,2026-06-12,,
business-texting,eztexting,EZ Texting,eztexting.com,https://frontdeskreview.com/business-texting/vendors/eztexting/,Scale,125,,500,,,20,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Shopify; Constant Contact; Google Sheets; Slack; API,no,https://www.eztexting.com/pricing,2026-06-12,,
business-texting,eztexting,EZ Texting,eztexting.com,https://frontdeskreview.com/business-texting/vendors/eztexting/,Enterprise,3000,,200000,,,,,custom,unknown,unknown,unknown,HubSpot; Salesforce; Mailchimp; Zapier; Shopify; Constant Contact; Google Sheets; Slack; API,no,https://www.eztexting.com/pricing,2026-06-12,,
business-texting,textedly,Textedly,textedly.com,https://frontdeskreview.com/business-texting/vendors/textedly/,Basic,29,,500,,,,,hybrid,unknown,unknown,unknown,Zapier; Mailchimp; Salesforce; HubSpot; Google Sheets; API,no,https://www.textedly.com/pricing,2026-06-12,https://www.business.com/reviews/textedly/,2026-06-12
business-texting,textedly,Textedly,textedly.com,https://frontdeskreview.com/business-texting/vendors/textedly/,Bronze,49,,1000,,,,,hybrid,unknown,unknown,unknown,Zapier; Mailchimp; Salesforce; HubSpot; Google Sheets; API,no,https://www.textedly.com/pricing,2026-06-12,,
business-texting,textedly,Textedly,textedly.com,https://frontdeskreview.com/business-texting/vendors/textedly/,Plus,79,,2000,,,,,hybrid,unknown,unknown,unknown,Zapier; Mailchimp; Salesforce; HubSpot; Google Sheets; API,no,https://www.textedly.com/pricing,2026-06-12,,
business-texting,textedly,Textedly,textedly.com,https://frontdeskreview.com/business-texting/vendors/textedly/,Enterprise,125,,3500,,,,,hybrid,unknown,unknown,unknown,Zapier; Mailchimp; Salesforce; HubSpot; Google Sheets; API,no,https://www.textedly.com/pricing,2026-06-12,,
business-texting,slicktext,SlickText,slicktext.com,https://frontdeskreview.com/business-texting/vendors/slicktext/,Starter,29,,500,,,17,,hybrid,yes,unknown,unknown,Zapier; Mailchimp; HubSpot; Salesforce; Shopify; Constant Contact; Klaviyo; API,no,https://www.slicktext.com/pricing,2026-06-12,https://www.g2.com/products/slicktext/pricing,2026-06-12
business-texting,slicktext,SlickText,slicktext.com,https://frontdeskreview.com/business-texting/vendors/slicktext/,Professional,49,,1000,,,17,,hybrid,yes,unknown,unknown,Zapier; Mailchimp; HubSpot; Salesforce; Shopify; Constant Contact; Klaviyo; API,no,https://www.slicktext.com/pricing,2026-06-12,,
business-texting,slicktext,SlickText,slicktext.com,https://frontdeskreview.com/business-texting/vendors/slicktext/,Business,79,,2000,,,17,,hybrid,yes,unknown,unknown,Zapier; Mailchimp; HubSpot; Salesforce; Shopify; Constant Contact; Klaviyo; API,no,https://www.slicktext.com/pricing,2026-06-12,,
business-texting,slicktext,SlickText,slicktext.com,https://frontdeskreview.com/business-texting/vendors/slicktext/,Growth,129,,3500,,,17,,hybrid,yes,unknown,unknown,Zapier; Mailchimp; HubSpot; Salesforce; Shopify; Constant Contact; Klaviyo; API,no,https://www.slicktext.com/pricing,2026-06-12,,
business-texting,salesmsg,Salesmsg,salesmessage.com,https://frontdeskreview.com/business-texting/vendors/salesmsg/,500 Messages,25,,500,,,17,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Pipedrive; ActiveCampaign; Keap; Zapier; Slack; Google; Make; API,no,https://www.salesmessage.com/pricing,2026-06-12,https://textbolt.com/blog/salesmsg-pricing/,2026-06-12
business-texting,salesmsg,Salesmsg,salesmessage.com,https://frontdeskreview.com/business-texting/vendors/salesmsg/,"1,000 Messages",49,,1000,,,17,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Pipedrive; ActiveCampaign; Keap; Zapier; Slack; Google; Make; API,no,https://www.salesmessage.com/pricing,2026-06-12,,
business-texting,salesmsg,Salesmsg,salesmessage.com,https://frontdeskreview.com/business-texting/vendors/salesmsg/,"2,500 Messages",99,,2500,,,17,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Pipedrive; ActiveCampaign; Keap; Zapier; Slack; Google; Make; API,no,https://www.salesmessage.com/pricing,2026-06-12,,
business-texting,salesmsg,Salesmsg,salesmessage.com,https://frontdeskreview.com/business-texting/vendors/salesmsg/,"5,000 Messages",179,,5000,,,17,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Pipedrive; ActiveCampaign; Keap; Zapier; Slack; Google; Make; API,no,https://www.salesmessage.com/pricing,2026-06-12,,
business-texting,salesmsg,Salesmsg,salesmessage.com,https://frontdeskreview.com/business-texting/vendors/salesmsg/,"7,500 Messages",249,,7500,,,17,,hybrid,unknown,unknown,unknown,HubSpot; Salesforce; Pipedrive; ActiveCampaign; Keap; Zapier; Slack; Google; Make; API,no,https://www.salesmessage.com/pricing,2026-06-12,,
business-texting,heymarket,Heymarket,heymarket.com,https://frontdeskreview.com/business-texting/vendors/heymarket/,Standard,49,,,,,17,,per_seat,yes,unknown,unknown,HubSpot; Salesforce; Microsoft Teams; Zapier; Slack; Shopify; Google; API,no,https://www.heymarket.com/pricing/,2026-06-12,https://www.g2.com/products/heymarket/pricing,2026-06-12
business-texting,heymarket,Heymarket,heymarket.com,https://frontdeskreview.com/business-texting/vendors/heymarket/,Plus,99,,,,,17,,per_seat,yes,unknown,unknown,HubSpot; Salesforce; Microsoft Teams; Zapier; Slack; Shopify; Google; API,no,https://www.heymarket.com/pricing/,2026-06-12,,
business-texting,heymarket,Heymarket,heymarket.com,https://frontdeskreview.com/business-texting/vendors/heymarket/,Pro,199,,,,,17,,per_seat,yes,unknown,unknown,HubSpot; Salesforce; Microsoft Teams; Zapier; Slack; Shopify; Google; API,no,https://www.heymarket.com/pricing/,2026-06-12,,
business-texting,avochato,Avochato,avochato.com,https://frontdeskreview.com/business-texting/vendors/avochato/,Pay as You Go,0,,,,,,,per_message,yes,yes,unknown,Salesforce; HubSpot; Slack; Zapier; Microsoft Dynamics; Google; API,no,https://www.avochato.com/pricing,2026-06-12,https://www.capterra.com/p/161117/Avochato/pricing/,2026-06-12
business-texting,avochato,Avochato,avochato.com,https://frontdeskreview.com/business-texting/vendors/avochato/,Standard,210,,,,,18,,hybrid,yes,yes,unknown,Salesforce; HubSpot; Slack; Zapier; Microsoft Dynamics; Google; API,no,https://www.avochato.com/pricing,2026-06-12,https://www.capterra.com/p/161117/Avochato/pricing/,2026-06-12
business-texting,quo,Quo (formerly OpenPhone),quo.com,https://frontdeskreview.com/business-texting/vendors/quo/,Starter,19,,,,,21,,per_seat,yes,unknown,unknown,HubSpot; Salesforce; Zapier; Slack; Gong; Google; Webhooks; API,no,https://www.quo.com/pricing,2026-06-12,https://www.ringover.com/blog/openphone-pricing-plans,2026-06-12
business-texting,quo,Quo (formerly OpenPhone),quo.com,https://frontdeskreview.com/business-texting/vendors/quo/,Business,33,,,,,30,,per_seat,yes,unknown,unknown,HubSpot; Salesforce; Zapier; Slack; Gong; Google; Webhooks; API,no,https://www.quo.com/pricing,2026-06-12,https://www.ringover.com/blog/openphone-pricing-plans,2026-06-12
